mfcc,label
"[-302.8102722167969, 42.15629577636719, -22.560317993164062, 4.514765739440918, -11.462321281433105, -9.41536808013916, -14.791269302368164, -8.066680908203125, -22.01517105102539, -11.77134895324707, -7.880009651184082, -12.188114166259766, -7.041805267333984]",angry
"[-329.6820373535156, 37.055606842041016, -18.648387908935547, 6.549637794494629, -9.696450233459473, -6.251556873321533, -13.365948677062988, -8.641983032226562, -21.028406143188477, -8.458945274353027, -4.560713768005371, -10.38203239440918, -3.661439895629883]",angry
"[-203.71127319335938, 31.237106323242188, -29.76490020751953, -4.196700096130371, -16.17160415649414, -10.366575241088867, -24.224531173706055, -15.582046508789062, -22.462690353393555, -13.66640567779541, -3.87658429145813, -12.243607521057129, -8.562599182128906]",angry
"[-556.8870849609375, 65.23700714111328, -0.8844127058982849, 15.528002738952637, 9.315155029296875, -3.4577763080596924, -4.7595601081848145, -9.590001106262207, -14.681816101074219, -2.406362295150757, -4.389649391174316, -1.3501874208450317, 2.821120500564575]",fearful
"[-567.4869995117188, 65.36763000488281, -8.041980743408203, 10.584493637084961, 4.971395969390869, -5.184731960296631, -9.513165473937988, -14.3079252243042, -19.51402473449707, -4.882805347442627, -4.197841644287109, -7.547043800354004, -0.602859616279602]",fearful
"[-589.5704345703125, 65.85814666748047, 5.0010986328125, 19.1158390045166, 8.962848663330078, 2.2062828540802, -3.1085519790649414, -7.925137042999268, -11.226554870605469, -1.3120211362838745, -1.812970519065857, -1.4567817449569702, 1.5219241380691528]",fearful
"[-572.241455078125, 73.23040008544922, -4.453160762786865, 18.55242919921875, 8.00694465637207, -0.5232408046722412, -4.976837158203125, -13.243358612060547, -13.188244819641113, -1.2169543504714966, -1.442707896232605, -1.7660648822784424, 0.09126528352499008]",fearful
"[-381.2051696777344, 46.2137451171875, -16.112619400024414, 11.22298526763916, 0.36505642533302307, 2.1569879055023193, -8.653438568115234, -11.12890625, -17.983055114746094, -5.915207386016846, -0.616226315498352, -4.382983207702637, -1.8227849006652832]",fearful
"[-345.0055236816406, 53.8321647644043, -23.19120216369629, -2.9327542781829834, 1.261211633682251, -2.245147705078125, -14.613241195678711, -17.309965133666992, -22.679380416870117, -11.397805213928223, -7.083716869354248, -12.531208992004395, -9.080574035644531]",fearful
"[-327.2284240722656, 38.10477066040039, -20.1524715423584, -1.2656240463256836, -8.632889747619629, -4.885595798492432, -13.674494743347168, -19.788267135620117, -20.102554321289062, -11.717584609985352, -5.850870609283447, -10.58945083618164, -9.681365966796875]",fearful
"[-372.5522766113281, 51.752296447753906, -19.792760848999023, 0.4040318727493286, -2.402371883392334, 0.4807405471801758, -16.220163345336914, -15.567818641662598, -19.226673126220703, -13.10758113861084, 1.346981406211853, -9.818464279174805, -8.820348739624023]",fearful
"[-608.1087646484375, 74.05152893066406, -3.770022392272949, 12.989513397216797, 4.8434834480285645, -0.2935192286968231, -9.097124099731445, -8.431437492370605, -17.472171783447266, -5.618697166442871, -0.8769347071647644, -10.050179481506348, -2.0687003135681152]",disgust
"[-570.6641845703125, 64.86811828613281, -1.0601847171783447, 5.253757953643799, 4.068414211273193, -0.17848768830299377, -11.513788223266602, -8.216217041015625, -16.82647705078125, -5.72037935256958, 0.08673799782991409, -7.555612087249756, -4.150433540344238]",disgust
"[-618.009765625, 81.75965881347656, 5.143255710601807, 17.11778450012207, 2.1418344974517822, 4.153972625732422, -6.379088401794434, -14.638542175292969, -9.80209732055664, -3.2726497650146484, -3.245875358581543, -4.104287624359131, -1.386799931526184]",disgust
"[-615.587646484375, 69.5479507446289, -1.4478815793991089, 13.171683311462402, -0.5882063508033752, 4.265369415283203, -7.171420097351074, -13.238632202148438, -9.752041816711426, -2.0670478343963623, -0.040096577256917953, -5.222173690795898, -0.7594037652015686]",disgust
"[-434.4521179199219, 53.705257415771484, -3.9677884578704834, -7.021041393280029, -10.349296569824219, -2.1920695304870605, -15.13200855255127, -20.78881072998047, -17.66400146484375, -10.190953254699707, -5.492738723754883, -5.026476860046387, -9.437979698181152]",disgust
"[-446.0513000488281, 47.95513153076172, -8.20903491973877, 1.8928346633911133, -9.665360450744629, -7.943728446960449, -20.9726505279541, -17.99677085876465, -11.194994926452637, -8.138290405273438, -7.082485198974609, -8.804702758789062, -9.363729476928711]",disgust
"[-454.94891357421875, 58.291526794433594, 12.474753379821777, -0.9419940710067749, -9.753719329833984, 0.6303098201751709, -15.958982467651367, -21.417985916137695, -7.229851722717285, -11.688665390014648, -11.805817604064941, -4.106274127960205, -10.291332244873047]",disgust
"[-427.7632751464844, 59.560142517089844, -1.550220251083374, -0.33475106954574585, -5.8069281578063965, -2.8845136165618896, -19.33420753479004, -21.564363479614258, -11.722755432128906, -8.262381553649902, -9.703202247619629, -8.886929512023926, -10.214932441711426]",disgust
"[-632.8221435546875, 61.7940788269043, -0.5826759934425354, 9.617838859558105, 5.231895446777344, -3.107487201690674, -6.968033313751221, -7.679415702819824, -11.350558280944824, -7.020449638366699, -0.30548813939094543, -6.130767345428467, -1.0003412961959839]",surprised
"[-654.841796875, 62.00309371948242, -4.08294677734375, 12.235203742980957, 7.920239448547363, -2.4078149795532227, -7.49991512298584, -7.003641605377197, -11.692302703857422, -1.8118820190429688, -1.289190411567688, -6.895859718322754, -0.6088255643844604]",surprised
"[-632.3327026367188, 66.4662857055664, -0.3855205774307251, 15.092798233032227, 3.8434860706329346, -1.559869408607483, -4.929555892944336, -8.871505737304688, -13.374838829040527, -3.204984188079834, -1.1833025217056274, -4.631169319152832, -2.474351644515991]",surprised
"[-636.186767578125, 57.88343048095703, -1.9458166360855103, 9.575484275817871, -0.4736715257167816, -4.552741050720215, -5.053757190704346, -8.310829162597656, -11.084606170654297, -6.352023124694824, -1.153136968612671, -7.7621660232543945, -1.181566596031189]",surprised
"[-572.1051025390625, 59.954864501953125, -6.310765266418457, 10.043972969055176, 4.676360607147217, -3.214057207107544, -9.38559627532959, -7.49307918548584, -13.019227981567383, -5.526681900024414, 0.4794860780239105, -9.20223331451416, 0.13204683363437653]",surprised
"[-520.9260864257812, 49.64830017089844, -6.148460388183594, 8.639017105102539, 0.09817557781934738, -3.918394088745117, -7.859182834625244, -8.987469673156738, -13.624466896057129, -7.812575340270996, -1.5222264528274536, -8.011833190917969, -2.353780508041382]",surprised
"[-561.938720703125, 52.293636322021484, -5.098793983459473, 9.044127464294434, 0.6988741159439087, -4.767759323120117, -7.802443027496338, -10.971272468566895, -17.04796028137207, -2.9308419227600098, -3.1775150299072266, -6.612736701965332, -1.2054568529129028]",surprised
"[-544.078125, 55.389503479003906, -6.634522914886475, 7.27440071105957, -0.741021454334259, -0.8773506879806519, -10.114401817321777, -11.46875, -13.34980297088623, -6.119515895843506, -1.6771769523620605, -6.709879398345947, -2.14520001411438]",surprised
"[-614.9978637695312, 64.27647399902344, -12.088927268981934, 9.417059898376465, -5.976621627807617, -5.09951114654541, -7.006571292877197, -10.802597999572754, -5.133162498474121, -1.3218846321105957, -5.894963264465332, -2.679514169692993, -6.1952128410339355]",neutral
"[-614.5418701171875, 58.66102981567383, -13.214272499084473, 13.366073608398438, -7.416208744049072, -3.91871976852417, -6.4558281898498535, -8.870977401733398, -3.4282827377319336, -2.2765305042266846, -4.056802272796631, -2.76737117767334, -6.766611099243164]",neutral
"[-575.7574462890625, 62.65248489379883, -14.19067668914795, 4.8386993408203125, -6.506747722625732, -4.652002334594727, -7.425965309143066, -12.023653030395508, -6.526121139526367, -2.558681011199951, -6.2436676025390625, -3.749220132827759, -8.128180503845215]",neutral
"[-603.3584594726562, 55.87741470336914, -11.65313720703125, 5.71571159362793, -7.732578754425049, -6.145285606384277, -7.69765567779541, -12.779855728149414, -7.422774791717529, -3.9748291969299316, -6.918378829956055, -4.02399206161499, -10.244538307189941]",neutral
"[-614.8968505859375, 65.42288970947266, -5.475077152252197, 14.217048645019531, -6.454205513000488, -2.5322067737579346, -4.585761547088623, -9.6150541305542, -3.7817647457122803, -2.738354444503784, -4.148099899291992, -5.384352207183838, -5.899535179138184]",calm
"[-600.8887329101562, 62.613040924072266, -12.100172996520996, 10.685824394226074, -8.025128364562988, -4.2560811042785645, -6.509220123291016, -12.307868957519531, -3.987858772277832, -4.628514289855957, -5.0154643058776855, -9.292116165161133, -7.096227169036865]",calm
"[-608.335693359375, 57.04800033569336, -8.415400505065918, 4.587231636047363, -6.464306831359863, -5.131186008453369, -9.001696586608887, -11.618759155273438, -7.678741455078125, -3.250596523284912, -7.914366722106934, -6.129337787628174, -8.926024436950684]",calm
"[-591.921142578125, 62.21699523925781, -15.930927276611328, 0.8868649005889893, -8.853314399719238, -7.2443742752075195, -10.352103233337402, -15.372655868530273, -8.205089569091797, -4.805440425872803, -8.849455833435059, -7.176615238189697, -12.285438537597656]",calm
"[-586.39697265625, 59.257652282714844, -8.56456184387207, 10.241120338439941, -8.690629959106445, -7.269436836242676, -5.693655967712402, -11.067938804626465, -8.634657859802246, -3.0904996395111084, -6.225252628326416, -9.073972702026367, -6.919858932495117]",calm
"[-597.4363403320312, 61.554420471191406, -12.310099601745605, 9.647639274597168, -10.68559741973877, -3.839535713195801, -6.989582538604736, -12.809221267700195, -6.484684467315674, -4.982508182525635, -3.6372640132904053, -9.983776092529297, -7.818779468536377]",calm
"[-589.7891235351562, 54.990333557128906, -9.950132369995117, 0.6781869530677795, -10.586604118347168, -3.6115646362304688, -12.087313652038574, -15.35088062286377, -11.044660568237305, -3.536760091781616, -9.447879791259766, -11.197447776794434, -10.727577209472656]",calm
"[-584.2490234375, 61.55378723144531, -8.576316833496094, 2.741631269454956, -9.749195098876953, -3.1989355087280273, -11.024346351623535, -14.122357368469238, -8.607098579406738, -1.4754694700241089, -7.616971492767334, -11.319549560546875, -11.028862953186035]",calm
"[-552.3889770507812, 51.476932525634766, -25.340852737426758, 10.078699111938477, -8.70793342590332, -7.432141304016113, -5.043609142303467, -15.105082511901855, -5.155143737792969, -3.885589361190796, -6.448509693145752, -3.1699724197387695, -10.167724609375]",happy
"[-563.7197265625, 55.063072204589844, -22.533496856689453, 14.48997688293457, -8.119955062866211, -8.174861907958984, -5.78786039352417, -15.452911376953125, -4.424930572509766, -5.054752826690674, -7.803750514984131, -2.244669198989868, -9.677634239196777]",happy
"[-552.95458984375, 52.526268005371094, -26.32058334350586, 6.376562118530273, -10.194061279296875, -8.647775650024414, -11.249612808227539, -18.74452018737793, -6.323622703552246, -4.389523029327393, -10.269540786743164, -3.143514633178711, -12.743047714233398]",happy
"[-551.8365478515625, 56.987117767333984, -19.6989688873291, 10.135116577148438, -8.045211791992188, -7.632937431335449, -10.723212242126465, -16.123807907104492, -3.7305679321289062, -2.5860557556152344, -8.5798978805542, -2.2967309951782227, -10.32121467590332]",happy
"[-449.03466796875, 39.664459228515625, -36.782867431640625, 8.386635780334473, -13.920670509338379, -18.287458419799805, -8.256415367126465, -19.221393585205078, -4.778682231903076, -9.810924530029297, -11.580965042114258, -2.6658453941345215, -14.328359603881836]",happy
"[-444.07171630859375, 43.54771423339844, -36.769012451171875, 7.215656280517578, -12.154332160949707, -19.198650360107422, -9.82962703704834, -17.055734634399414, -6.294701099395752, -7.373966217041016, -11.178728103637695, -0.8545756340026855, -13.083380699157715]",happy
"[-496.13336181640625, 46.05610275268555, -28.008838653564453, 5.341246128082275, -8.249222755432129, -14.8570556640625, -14.2371187210083, -18.16221809387207, -4.842568397521973, -4.371567249298096, -14.122098922729492, -2.751917839050293, -13.149470329284668]",happy
"[-487.75640869140625, 47.046810150146484, -29.17010498046875, 5.277409553527832, -11.200939178466797, -16.29386329650879, -11.743900299072266, -18.563817977905273, -8.006204605102539, -7.5772705078125, -14.100103378295898, -2.2606685161590576, -15.102828979492188]",happy
"[-628.728271484375, 64.15025329589844, -14.221365928649902, 8.28377914428711, -8.09685230255127, -5.987698078155518, -8.471577644348145, -13.177887916564941, -7.463472843170166, -4.703693389892578, -5.95096492767334, -6.774261951446533, -6.277204990386963]",sad
"[-621.7154541015625, 68.30582427978516, -13.167956352233887, 10.502349853515625, -7.194539546966553, -4.244560241699219, -6.116156578063965, -11.530130386352539, -8.033440589904785, -1.9603184461593628, -6.287008762359619, -4.437345027923584, -6.700190544128418]",sad
"[-623.009765625, 53.668094635009766, -6.272530555725098, 5.491886138916016, -6.247438907623291, -5.760422706604004, -11.383448600769043, -14.228992462158203, -5.432554244995117, -3.6317331790924072, -8.020009994506836, -4.362390995025635, -8.215563774108887]",sad
"[-640.1920776367188, 55.702552795410156, -7.149075508117676, 8.307373046875, -3.948838472366333, -4.7948899269104, -8.813447952270508, -12.377769470214844, -7.061756134033203, -0.7651092410087585, -7.6025004386901855, -4.274613380432129, -7.6126251220703125]",sad
"[-624.280517578125, 59.278934478759766, -12.442747116088867, 7.4127984046936035, -11.205949783325195, -7.980749607086182, -12.587142944335938, -17.335956573486328, -11.643434524536133, -4.7099833488464355, -9.829086303710938, -2.9354121685028076, -8.676534652709961]",sad
"[-633.1752319335938, 66.33218383789062, -7.73342752456665, 9.547892570495605, -6.559019565582275, -5.861181735992432, -12.646739959716797, -14.854168891906738, -11.298140525817871, -4.089808940887451, -8.391578674316406, -3.943643808364868, -8.236676216125488]",sad
"[-625.655517578125, 53.95439529418945, -8.009159088134766, 4.9887471199035645, -7.883134365081787, -5.885267734527588, -13.584994316101074, -17.82151222229004, -12.969573020935059, -5.7044572830200195, -10.224981307983398, -4.712719440460205, -11.563377380371094]",sad
"[-621.5709228515625, 54.18473434448242, -8.577227592468262, 6.257850170135498, -6.666957855224609, -8.925411224365234, -15.337568283081055, -16.849605560302734, -10.807880401611328, -3.335115909576416, -11.922725677490234, -4.6182475090026855, -10.247838020324707]",sad
"[-526.763916015625, 52.980289459228516, -13.038192749023438, 7.258232116699219, -7.994300365447998, -5.933783531188965, -4.651823997497559, -12.674568176269531, -5.665134429931641, -2.9092206954956055, -3.8268613815307617, -3.017371892929077, -6.01365852355957]",angry
"[-491.348388671875, 50.81348419189453, -20.926280975341797, 8.912344932556152, -10.166614532470703, -5.622890472412109, -6.705996513366699, -12.73359203338623, -3.3142776489257812, -0.9372069239616394, -2.579700469970703, -2.5125532150268555, -5.05988073348999]",angry
"[-523.0479736328125, 56.11528778076172, -13.244285583496094, 4.462608814239502, -11.113882064819336, -5.010829925537109, -6.988584518432617, -14.00707721710205, -7.339270114898682, -2.6772775650024414, -7.4064226150512695, -3.064866304397583, -8.857741355895996]",angry
"[-509.9267578125, 51.67912292480469, -19.883676528930664, 4.215480327606201, -14.299188613891602, -8.810763359069824, -6.759645938873291, -16.046070098876953, -7.44703483581543, -3.525087594985962, -6.721861839294434, -2.991663694381714, -10.611889839172363]",angry
"[-396.9308166503906, 39.04358673095703, -30.618125915527344, 3.805046558380127, -19.167390823364258, -10.435569763183594, -3.616575002670288, -18.05829620361328, -3.2438225746154785, -6.049529552459717, -5.046116352081299, -4.082437038421631, -9.25967025756836]",angry
"[-411.52362060546875, 44.337623596191406, -32.373531341552734, 3.8966732025146484, -19.90304946899414, -9.613238334655762, 0.29384809732437134, -17.105138778686523, -5.393730163574219, -6.484973907470703, -4.8631181716918945, -2.589172124862671, -11.152632713317871]",angry
"[-363.38934326171875, 34.222896575927734, -40.98215103149414, -5.912686824798584, -24.351322174072266, -16.912708282470703, -5.4359331130981445, -24.327091217041016, -9.730372428894043, -9.795454978942871, -10.932235717773438, -6.194124698638916, -15.168342590332031]",angry
"[-362.8857727050781, 31.782312393188477, -41.051231384277344, -2.8793160915374756, -25.49648094177246, -14.997864723205566, -4.618185043334961, -22.679664611816406, -8.159202575683594, -9.065193176269531, -10.813014030456543, -6.156148910522461, -15.75339126586914]",angry
"[-525.8750610351562, 40.33982849121094, -31.5545711517334, 5.78338623046875, -14.889800071716309, -11.855545997619629, -10.203640937805176, -18.59636116027832, -7.399982929229736, -8.86530876159668, -7.69425630569458, -6.447134017944336, -6.125401496887207]",fearful
"[-527.227294921875, 41.778926849365234, -32.04261016845703, 2.3944833278656006, -13.835954666137695, -11.16533088684082, -9.0856351852417, -20.667112350463867, -8.258450508117676, -7.48811149597168, -8.829914093017578, -6.4424662590026855, -7.341160774230957]",fearful
"[-521.0782470703125, 38.367645263671875, -29.66473388671875, 2.405942916870117, -11.70358657836914, -10.812455177307129, -12.949136734008789, -19.941593170166016, -6.296896457672119, -4.518459796905518, -11.09285831451416, -4.2393035888671875, -8.57406997680664]",fearful
"[-524.940673828125, 35.469329833984375, -33.27389144897461, -1.2984309196472168, -12.214024543762207, -13.16895866394043, -15.157904624938965, -22.452884674072266, -6.523494720458984, -5.476334571838379, -12.194068908691406, -6.7567620277404785, -7.325160503387451]",fearful
"[-471.26092529296875, 26.36676597595215, -40.23625946044922, -0.7816143035888672, -19.08356285095215, -16.09432029724121, -10.719012260437012, -19.59107208251953, -8.44749641418457, -3.766345739364624, -12.773584365844727, -6.607048034667969, -8.125472068786621]",fearful
"[-460.4034423828125, 21.679941177368164, -36.10785675048828, -0.9535954594612122, -16.69156837463379, -16.773704528808594, -9.37920093536377, -18.53131866455078, -10.056449890136719, -5.499149799346924, -12.706192016601562, -3.6759963035583496, -6.015288352966309]",fearful
"[-458.8250732421875, 18.34632682800293, -31.976499557495117, -5.8476786613464355, -14.63744068145752, -15.125192642211914, -9.943979263305664, -15.869433403015137, -8.52743911743164, -6.9329400062561035, -12.471942901611328, -5.325150966644287, -9.251575469970703]",fearful
"[-454.5299987792969, 23.91750717163086, -30.110618591308594, -4.5547709465026855, -13.989169120788574, -12.56550121307373, -13.440818786621094, -18.867107391357422, -6.790040969848633, -3.6876347064971924, -12.427093505859375, -3.805952787399292, -7.189545154571533]",fearful
"[-592.7067260742188, 60.89619445800781, -14.9891939163208, 8.371990203857422, -10.792590141296387, 0.3964301347732544, -11.014795303344727, -14.363541603088379, -4.7178802490234375, -1.865779161453247, -6.735781669616699, -1.645650029182434, -6.7964677810668945]",disgust
"[-604.772705078125, 67.4344253540039, -16.50244140625, 10.641716003417969, -11.811132431030273, -0.029286429286003113, -9.394829750061035, -15.504311561584473, -7.7273383140563965, -0.2921680212020874, -7.8747172355651855, -3.292980432510376, -9.168460845947266]",disgust
"[-563.2625732421875, 65.38126373291016, -12.10649299621582, 4.565367698669434, -7.4617695808410645, -3.9468209743499756, -10.706583976745605, -16.981327056884766, -7.451021194458008, -0.5034559965133667, -11.611932754516602, -2.5374677181243896, -10.542513847351074]",disgust
"[-575.0254516601562, 62.74933624267578, -18.83098030090332, 6.5000786781311035, -10.621148109436035, -7.023303031921387, -12.767265319824219, -19.64876937866211, -5.154953956604004, -0.3277512788772583, -13.089859008789062, -2.2756645679473877, -11.98012924194336]",disgust
"[-500.7373046875, 60.248294830322266, -23.75773811340332, 6.058657646179199, -19.646358489990234, -5.930678367614746, -11.328295707702637, -20.059011459350586, -9.000696182250977, -1.6232413053512573, -11.762386322021484, -4.764463424682617, -9.986968994140625]",disgust
"[-502.4161682128906, 62.01758575439453, -17.925270080566406, 6.944144248962402, -17.1911678314209, -3.730757474899292, -8.139369010925293, -16.496318817138672, -8.24866771697998, -0.21132014691829681, -7.780396461486816, -3.9644107818603516, -9.26741886138916]",disgust
"[-489.1524658203125, 62.372886657714844, -20.60253143310547, -1.092606782913208, -15.207000732421875, -6.991524696350098, -17.412090301513672, -20.96377944946289, -7.216400146484375, -3.5930259227752686, -14.915994644165039, -0.17847055196762085, -12.316073417663574]",disgust
